author,text,published_at,sentiment
@ghorebairema,"All fake, not worth, i wasted my time. BoC is doing right job.",2023-07-14T15:51:07Z,NEGATIVE
@kamranhaidertunio,Its every expensive everywhere in Canada right now regardless of whether you are in Ontario or Alberta. I live in Calgary. Just a heads up finding a good paying job in Calgary won't be easy. So even though your expenses might go down a bit most probably your income will take a hit too. I have over 10 years of overseas experience in Oil and Gas but yet have struggle to find a job.  On top of that rental has increased significantly as well compared to a year or two ago. I am sure you will consider all the pros and cons before moving.,2023-07-12T03:16:33Z,NEGATIVE
@ginnybedi5678,Buy a townhouse in Vancouver and live your dream life😊,2023-07-10T19:51:33Z,POSITIVE
@LucianoClassicalGuitar,What a pointless channel lol,2023-07-09T10:17:21Z,NEGATIVE
@miffi8289,Are you working?,2023-07-08T20:55:37Z,NEUTRAL
@santhoshsankar657,"Great, Who is your cameraman ?",2023-07-08T19:18:46Z,NEUTRAL
@canadianreality,Go back to india.... 😂 not Calgary 🎉🎉🎉,2023-07-07T19:58:52Z,POSITIVE
@mrfake675,Canada sucks. Life could be cheap with our abundant resources. Appeasing the WEF and other overlords makes life suck,2023-07-06T02:47:24Z,NEGATIVE
@gaurang3021,"just have patience,2023 is bad for all of us. The best way right now is to sell out this house and come back to condo for sometime(in case if ur pocket is so tight). I believe you wont be in loss. N next time when you buy new house- my advise is to have rentable income thru your basement. I bought a condo in 550k at the same time when you bought your townhouse. I did make equity of 100k and now moving out to a rentable house..
Everything should come step by step and we all learn from our
mistakes. 
Buying house in Canada is just like changing cloths. Jyada dil se lagaane ki zarurat nahi hai❤",2023-07-03T04:45:08Z,NEUTRAL
@cMaslow,"Pretentious.

Moving to canada does not change who you are. You are still underachieving and classless only in a different environment.

Get a good education and make an actual impact, then post videos.",2023-07-01T22:54:34Z,NEGATIVE
@srmashwani,It was not a SMART decision at all to get a variable interest rate mortgage. I’m surprised you didn’t even research a little. Economy was going down with high inflation since last 1 year. No body in their senses will go for variable interest rates,2023-07-01T02:19:08Z,NEGATIVE
@sukhmanku5608,you are gaining weight,2023-06-29T06:32:05Z,NEUTRAL
@pinkycat2484,"Pooja yoù are currently HOUSE RICH but CASH POOR.  You can save ,but need to change your lifestyle.   Maybe movingly will help, more disposable income.",2023-06-28T11:20:48Z,NEUTRAL
@cynthia7924,Sure ..its a sliding scale ..my vehicles are parked off..and I don't drink coffee anymore ..so I can afford to still feed my dogs well .We have rich people in Greyton called Swallows ..when the bad seasons come ..they  just fly overseas and continue to enjoy summer .It will be tragic if they had to endure winter here like most locals do every year .. especially with load shedding and gas shortages etc ..they might actually suffer a cold if wood runs short too .Migrate permanently?,2023-06-27T17:34:50Z,NEGATIVE
@zala_vandana9143,"I moved from Saskatchewan to Ontario and I made a right choice.
I know ontario is definitely expensive but there’s no life that part of the Canada. It was extremely depressed over there. It is just my opinion, it depends on person to person.
I wish to stay here FOREVER ❤
GOOD LUCK FOR YOUR FUTURE THOUGH 👍🏻 ❤❤❤😊😊",2023-06-26T16:35:44Z,POSITIVE
@sammospencer8641,"I feel your pain. I love downtown Oakville and it keeps getting better. I love that you’re a Canadian YouTuber living in my neck of the foods. Hopefully, things will improve for all of us in Canada.",2023-06-24T15:51:25Z,POSITIVE
@gk5233,You have to control your spending dear. Expensive taste comes with expensive prices. You should move to Dubai if want a lifestyle to live. Please do not move to boring Calgary.,2023-06-24T15:35:02Z,NEGATIVE
@soultrader9207,Start an OF,2023-06-24T03:56:38Z,NEUTRAL
@Farhan.DucatiS1k,Stop going to winners and coffee shops get a side hustle inflation rates are going to keep going higher and will stay there for a long time. Interest rates have been artificially low since 2008 and a lot of people bought things that they cannot afford. Now it’s time to pay the rooster 🐔 try changing to a fixed rate although in. Canada it resets every 5 years and date will be even higher..  best thing to do is that side second job or just sell and rent ..,2023-06-20T21:41:06Z,NEGATIVE
@red_hat3855,1:41 ... They work hard.... They don't go around making crappy videos,2023-06-20T16:45:56Z,NEUTRAL
@red_hat3855,All the governments in developed countries should ban YouTube...,2023-06-20T16:40:36Z,NEGATIVE
@pk9436,Interesting. I thought mostly it was Indians who moved to Canada from US that hated Canada.,2023-06-20T01:21:19Z,NEGATIVE
@geetasuresh405,"Pooja you want the butter and the money of the butter both, know what you want happening city in which case you need to reassess your lifestyle or cheaper boring place as simple everyone does these calculations and take such decisions everyday not because you have just a little fame that makes you more special or like a big struggle which all of us face on a daily basis! And work harder don't just sit at home making videos there are plenty like you in Toronto working full time and vlogging so they can make ends meet such as chit chat with Shilpa he rented her basement you want gym also that's why people are rightfully advising you but it's clear from your video that followed that you can't hear what you don't want to which is work!!! That too coming from India where people die working in the sun rickshaw, food vendors, sabziwaala, everyone. How can you even complain with all you have? Like you are saying move to a cheap place if you wish but don't live a lavish life and at the same time, even if you don't say you are misserable, sound like one!",2023-06-18T12:03:28Z,NEGATIVE
@artistsarmy2837,Why don’t you move to ✨Australia✨. We have a lot of things here,2023-06-15T13:25:04Z,NEUTRAL
@MagicalThought,Yes! Come to Calgary... 👍🥰 affordable and peaceful,2023-06-15T01:18:15Z,POSITIVE
@lucas-uq1vr,'My own city oakville' got me  amused 1:37,2023-06-14T06:34:08Z,POSITIVE
@MarkWickenheiser-yg7ny,Get out of canada while you can! It's not going to get better anytime soon. We left canada 3 years ago and have never looked back ...........Canada is a sh!thole!,2023-06-14T05:51:28Z,NEGATIVE
@wollgamh1406,Putin sucks !!!,2023-06-12T16:32:59Z,NEGATIVE
@Anthony-wp4vh,"I'm in the same boat, Peekapoo. It's awful. Adjustable variable rate here...",2023-06-12T15:56:54Z,NEGATIVE
@bobboucher-c5s,"nothing will  go down as comminist trudeau does not give a shit about canadians, all the inflation is done on purpose so its going to be impossible to buy a house. at that point, the government will say, hey you can live in these appartments for 1000$, but you will own nothing",2023-06-11T22:28:27Z,NEGATIVE
@silverstonemalik440,Should have changed to fix rate 😊6 months back,2023-06-11T15:34:16Z,NEUTRAL
@silverstonemalik440,Feeling the same want to move my mortgage is getting tough to keep on,2023-06-11T15:33:07Z,NEUTRAL
@vegeto3327,"Aunty interest increase ho gya hai , bech do apna ghar",2023-06-09T07:24:25Z,NEUTRAL
@divyagulati1347,😢,2023-06-08T19:36:12Z,NEGATIVE
@TheZubairShorts,You're editing is awesome,2023-06-08T11:54:33Z,POSITIVE
@akhilkalra884,And interest rate increased again yesterday 😅,2023-06-08T06:11:53Z,NEUTRAL
@aishabinttila5059,"You should be able to pay off your interest and some of your principle amount, before you spend money on things that are not your needs(expensive food, expensive  clothes, expensive trips) atleast for a year or two.. pay as much as you can with strict budget... It will help you in futue",2023-06-07T09:07:35Z,NEUTRAL
@matthewgonano636,Hello blardy. Hoodiahhhh,2023-06-07T00:25:52Z,NEUTRAL
@raghavgrover6436,"Winter was so mild in Calgary compared to three winters I have experienced in Montreal with the exception of one week in Dec and one in Feb. In Jan there was no snow with grass visible and I was wearing half sweater outside as it was warm due to chinook. Also +5 of Toronto will be same as -5 to -10 of Calgary due to dry weather ( less moisture). Calgary is under rated if you ask me. 
We moved from Montreal last year to Calgary and it was the best decision ( if you have a job here). Job opportunities are less but people are also less and IT scene has grown over the past 2-3 years with big names like Accenture and some fintech companies as well. Don't just go by what you hear online as most people are still talking about Calgary of 2017/2018 or earlier. I just spoke to a friend who is moving from Ontario and he scored a job in IT (City of Calgary govt job) job in 2 weeks, so I don't believe when people say there are no IT jobs, there are but you need to see if they are in your field of interest and if you have enough experience to meet the posted jobs criteria.",2023-06-06T23:24:39Z,POSITIVE
@MrTommyfi,How about moving to India it’s cheaper I heard,2023-06-06T17:18:39Z,NEUTRAL
@MrTommyfi,Another increase tomorrow incoming,2023-06-06T17:16:42Z,NEUTRAL
@zigzag00,Calgary is Canada's 4th largest city. It's not boring at all and there's a lot of things to do!,2023-06-06T04:54:53Z,POSITIVE
@hydra_trading,"You're just a FINANCIAL ILLITERATE.

I know you are rich from family and the harsh truth is that you can't even earn on your own, if you've money problems when you aren't even earning it yourself.

If you had to earn money yourself you just CAN'T! Because tumhare parents ne tumko bachpan se sir pe utha ke rkha hai aur tumko aisa lgta h paise to aisehi kamalege but jb schme kamana padega fir rote rote baap ke paas hi paise maangne jaana padega",2023-06-05T09:35:31Z,NEGATIVE
@wojciechbogucki7099,"The first thing is being on a variable rate specially this time it is just crazy unless you ahve not overshooted with your mortgage payments in terms how bug they are compared to your income. As of now you can get a fixed rate for about 4.8% which I think it is good. You can try to refinance your mortgage with another bank like CIBC and get it fixed for 5 years. Also it is good to make some once off payments during the year to reduce the interest overpayment etc. Alberta is nice, in terms of jobs it is also good. We are in New Brunswick at the moment and a lot of people are moving to this province. You might consider this as well. This is why when you take your mortgage you have to also take into consideration things that might happen in the future including broken economy etc. A lot of people are maxing out on their mortgages and they can barely afforded once things will go bad :(",2023-06-04T21:29:24Z,POSITIVE
@bensmith6044,Who else here feels like they make all these videos to indirectly ask their parents to send them money as they are “struggling” and can’t drink 15 bucks a cup coffee or buy 1500 dollar drone camera as an upgrade,2023-06-04T16:31:40Z,NEGATIVE
@Time_Pass_Lounge,Move to Dubai,2023-06-04T16:31:14Z,NEUTRAL
@abhicarter9528,"Just an observation: The aesthetic Life you’re living is definitely expensive. Trust me I’m a developer make about 250k/yr + have equity. If my partner starts spending like you I’d divorce her. Also, its noticeable and can be clearly seen your partner’s not happy several times in the video. Just love each other and be real that would help you connect with your audience better. As, you have subscribers but not engaging audience. That said it’s just my observation seeing all your videos.",2023-06-04T08:43:40Z,NEUTRAL
@canadianindian1918,"Well! Finally someone is telling the truth. 
1. Interest rate will go up and will be up for 2 years. 
2. May be start a new business and try to add income source. 
3. Start capitalizing on your YouTube channel. May be start selling mortgage services, or become a realtor.",2023-06-04T04:04:42Z,NEUTRAL
@vsxtubex,"If you can work from home, Move to St Catherines , London or Windsor",2023-06-03T22:56:05Z,NEUTRAL
@ani_ds12,"I think the biggest reason for the  current situation of first time home buyers is bank of Canada's inability to react faster. All incorrect signals and signs in the last 3 years. The current generation is literally screwed, by the BOC and the govt. Half of the salary is taken by the former and the other half by the latter",2023-06-03T22:13:56Z,NEGATIVE
@Youngblood22336,"Last year, I stayed 3 months in Delhi, 2 months in Calgary and I live full time in Toronto. Truth is, best quality of life is in India and it is getting better. The quality of immigration in Canada is getting worse and things are going to get much worse before they get better. The BOC and the US Fed want to increase unemployment first and then cut interest rates sometime in 2024. So, to rank 1) Delhi 2) Toronto 3) Calgary - cheap houses, but it's ideal when you are 45 years old and just want to chill with family. Apart from the house, everything else is more expensive- food, insurance, weather, parking etc.. Delhi and Toronto have much better job opportunities and frankly Delhi just has more quality competition. So I would suggest to probably find a nice rental place (and sell home) or go through the high inflation storm of 2 years in Toronto. Canada will follow the US on rates, and the US will use a hop on policy i.e. rate increase every second meeting going forward (june- no hike, next meeting increase due to new employment and inflation numbers)",2023-06-03T17:31:59Z,NEUTRAL
@Anjali-pn9lh,"The other option is if you have citizenship, then move to USA temporarily and save money and come back. Or move to Singapore, Dubai  temporarily and save money and comeback.",2023-06-02T23:34:56Z,NEUTRAL
@Anjali-pn9lh,Book a airbnb and stay in Calgary in the winter and falls and summer and decide it,2023-06-02T23:28:41Z,NEUTRAL
@missdiannajs2541,Why just not move back to india n visit canada is not like ya career is based there,2023-06-02T19:02:37Z,NEUTRAL
@adi18065,"For starters, stop spending on luxury stuff and international travel and start taking back equity in house or invest in instruments beating inflation",2023-06-02T18:22:53Z,NEUTRAL
@hamnaghazal508,"You can definitely save if you know how to. 
People who are really interested in saving doesn't spend money like you do on unnecessary stuff and alot of vacations.",2023-06-02T15:10:05Z,POSITIVE
@AvisekhKumar-g6p,"Though i am a frequent viewer of your videos, but I remember one of your first videos in Canada, where u started ur day early in the mrng and went to office by bus may be, amidst heavy snowfall and it was alsmost dark. Feel that struggle u and ur husband had in the early days. If can overcome that days, m sure u can overcome this problems also. Best of luck.😊",2023-06-02T13:07:10Z,POSITIVE
@Keepgoingnomatterwhat,"We faced same situation like yours, so finally decided to move to Prince George,BC & happy here. Views here are breathtaking like Mini Switzerland",2023-06-02T10:52:21Z,POSITIVE
@Keepgoingnomatterwhat,"Think about moving to Prince George in BC, less harsh weather than Alberta, property is affordable, job opportunities better, not totally dead city.",2023-06-02T10:46:49Z,POSITIVE
@hareram-g,10:17 😂😂  they did it as expected 😂😂& maybe they didn't like that pan shopping also😂,2023-06-02T06:22:07Z,NEUTRAL
@hareram-g,"Wise decision, it will be ❤",2023-06-02T06:17:59Z,POSITIVE
@markm9940,Lots of Ontarians moving here in Calgary.,2023-06-02T06:06:35Z,NEUTRAL
@rhaulsparrow6644,its unsustainable living circumstances for the bulk of society and im afraid were on the onset of a major economic crash,2023-06-01T21:48:47Z,NEGATIVE
@HappymomentsINCA,People saying save and cut expenses.. they dont know😂 i dont know where money goes . We even dont buy expenses stuff,2023-06-01T18:38:51Z,NEGATIVE
@HappymomentsINCA,Come to winnipeg. Its beautiful here in south winnipeg.. houses start here from 1 lac.. alberta everyone is moving.. here weather is 4 months bad but summers are beautiful❤,2023-06-01T18:33:29Z,POSITIVE
@HappymomentsINCA,Ur editing!!!!!!!.. oh my god.. feels like u had a cameraman.. i dont think so right?? ❤,2023-06-01T18:30:45Z,NEGATIVE
@rmegha77,"Hey! On a friendly note, you might be an amazing person but I seriously think you gotta get more exposure to people who have real money troubles, like real living from paycheque to paycheque situation. There is Ikea and there is CB2, you buy a $600 pendant lamp from CB2 and a person living from PC to PC would probably get half of all their furniture at that price( from Ikea or secondhand or maybe free porch pickup even), they also want to buy that lamp from the expensive store but they simply can't. I am no one to judge you but this really gives me the vibe of ""Ananya Pandey's struggle"". If you wanna buy all the expensive stuff that's cool, that's your lifestyle but then you cannot complain about savings. If I have limited income and my lifestyle is such that I will only stay in Fairmont(just an example) and then if I complain to my friends that I am not saving anything, they would probably laugh at me. See I love you, this is not coming from a place of hate but I just think you gotta widen your exposure, that will keep you grounded. Rest, I live in Calgary, this is an amazing city, there are enough events all around the year, you can go to the mountains anytime and winter is not as bad as people think it is, I have lived in Ontario for a year and now in Calgary and I honestly find winters much better here cz it is sunny all the time, chinooks help a lot and I can ski as much as I want.",2023-06-01T17:54:35Z,POSITIVE
@romeoandjuliet6522,Sell your House and move to Montreal get welfair learn French why you work so hard insurance is cheap 800$ find one bedroom there,2023-06-01T16:57:12Z,NEUTRAL
@mahimasabherwal4813,Please make a tour of oakville,2023-06-01T14:42:46Z,NEUTRAL
@neicylove3527,Also you stop making weekly videos  and you stopped working so your money will be tight. But you have to make it make sense.,2023-06-01T13:30:13Z,NEGATIVE
@Disturbed007,"Arey Peekaji aap kharcha kam karo ya phir India wapis aa jao
Yahaan Rs.100/- mein 4 logon ka pariwaar Chola Kulcha kha ke party karta hai.",2023-06-01T04:17:28Z,NEUTRAL
@rahulghosh2413,Worst possible city you guys can move to after Toronto is calgary. I moved to Montreal. Happy to pay higher taxes but super cool people.,2023-06-01T03:26:47Z,NEUTRAL
@rahulghosh2413,"Ride out 2 years...stop listening to realtors. It will get much worse but interest rate will likely not rise. Don't sell and buy now unless you are clearing +ve equity after realtor fee. Also factor in time cost of moving, moving cost, relocation cost etc. those add up.",2023-06-01T03:24:11Z,NEGATIVE
@silentchaos888,Just go back to India?,2023-06-01T00:58:10Z,NEUTRAL
@ishratahmad6067,"We want Oakville downtown tour, and we really wish you don't have to sell your house.",2023-05-31T21:51:50Z,POSITIVE
@hrishitapatel405,I think ur vlogs have lost the their charm. It’s like u don’t kno wat ur doing comin or going,2023-05-31T20:52:31Z,NEGATIVE
@pathetics7156,Keep up your spirits This is only a small chellange which bo of you can resolve with addional efforts,2023-05-31T18:56:59Z,POSITIVE
@roycetonis,"I commend you courage to speak up about this. You should move away from making life style videos (expensive) to doing other creative videos which can be less of an upfront investment. Rent out a part of your house for a year to get some income, and then prepare for the future, Selling the house now will prove to be more expensive in a cooling market.",2023-05-31T18:29:29Z,NEUTRAL
@nusratfatma,"My two cents. Stay where you are and learn to budget and spent wisely ! And you will make it !

1. Oakville is nice. And close to Toronto where the jobs are plenty as compared to other places.
2. Weather in GTA is definitely better as compared to Calgary.
3. You won’t make a lot of money from selling the house considering the market and selling costs.

There is a line between splurging and living your life. Try to find a balance.  
Lastly, it doesn’t come across nice to your audience complaining about money where you live in a great neighborhood, buy super expensive stuff.",2023-05-31T17:59:59Z,POSITIVE
@nippunsharma,Just leave Canada,2023-05-31T16:53:58Z,NEGATIVE
@qusd4033,in usa she will whine abt school shootings,2023-05-31T16:03:53Z,NEGATIVE
@ashimaghulyani995,"I think you should shift to a cheap place, where you can actually save some amount.",2023-05-31T13:10:23Z,NEUTRAL
@dkib2006,Interest rates need to increase otherwise inflation will go out of control. Inflation is a huge problem for our society and I agree that nobody is talking about it. They try to hide it.,2023-05-31T12:04:37Z,NEGATIVE
@juanpotgieterg-mail7534,"Hey guys, I love your videos. First of all, please do a DT tour! I would love to see it! Secondly, can you do a tour of the plant stores? I love indoor plants and would love to see what Canada has! Thirdly, I say GO FOR IT! Move to Calgary, my family members stay there and they love it, they say it is relaxed but you determine it, just like you said ""You work yourself crazy"" and then it's up to you to decide to go out and find motivation. I really am sure you guys of all people will be able to make it work! 

Keep on doing what you do! I love the amazing new quality of your videos",2023-05-31T08:04:25Z,POSITIVE
@ssethiya1843,"1.Cut down your expences you spend a lot on expensive items. 

2. Start working. 

3. Rent out one room or basement. 

Moving to Calgary is a bad idea. If you have plans to move from Ontario then move to India. Your spending habits will make you broke wherever you will go in Canada and also you behave like a tourist there. Accept the fact that you went there to build a life.",2023-05-31T06:19:55Z,NEGATIVE
@tommontgomery3610,"Pretty sure a lot of them moving to Alberta will rather leave Canada in 3-4 years and return to their home countries. India is the place for YouTubers..
Some lame duck weirdos are crossing million subs , you’ll be better there!",2023-05-31T04:02:59Z,NEGATIVE
@beantaulakh3764,"I moved from toronto to calgary and its realy a lovely city… good downtown… cheap houses, closer to mountains, even the weather is not much bad… only one week of hard winter.. less traffic beautiful summer… you will make less money still save more",2023-05-31T03:50:57Z,POSITIVE
@NIRAJKUMAR-ji7ck,"Please don't expect the interest rate to come down any time soon.  discuss with your mortgage broker and make a wise decision. Your amortization might have extended like anything with nothing much going into principal. Also, consider selling your house (the spring market had a dead cat bounce and was a good opportunity to sell). Canada is overdebted and money is concentrated only on one asset class (real estate) and no investment in the real economy. Wages have stagnated and quality of life is degrading quickly. Unfortunately, a deep recession would be unavoidable. I would recommend you to learn what's happening in the macro economy and Twitter is a great place to follow.",2023-05-31T01:18:26Z,NEGATIVE
@laurakatona8850,"I am sorry but I have to be honest! You have a big house in Oakville! Maybe move to a smaller one - it is just you two  right now- maybe a smaller condo or even a house is enough. You can buy second hand furniture and could do fasting to loose weight and save money at the same time! You have very expensive taste 🤩- which is okay, but maybe just spend less and think about cheaper options. You could rent out your rooms too for the time being! Or have a main job part time  and do youtube as your second income! There are many ways to save money… some of us have 2-3-4 kids and still can save. I am sorry - no judgement from my side but please don’t complain about being broke because it is very disappointing to see😢",2023-05-31T00:26:42Z,NEUTRAL
@kevindavis5772,That's is the problem with variable rate. You can talk to your bank to blend and extend your will lock in at higher interest rate and extend your mortgage.,2023-05-30T23:54:53Z,NEGATIVE
@supreetkaurtara8150,i live in calgary too.,2023-05-30T22:54:28Z,NEUTRAL
@hcmistry11,"I think a lot of Canadians are in this situation. I know it's a hard time too, but if you can tough it out during these hard times, trust me, when things recover in a couple of years your property will appreciate more, it will be way better overall. 

Alberta is really hard choice we also thought about investing in there but because they rely so much on the fuel/gas industry. When these industries diminish in the next 10-20 years, you're going to have to make hard calls at that time.",2023-05-30T22:40:49Z,NEUTRAL
@yourfavpovs,5000 CAD rent deke reh rahe log. It's all interest. Better are people who are living as renter for 2500,2023-05-30T21:40:10Z,NEUTRAL
@hemlv7,Gulati bro move!! ❤,2023-05-30T21:38:32Z,POSITIVE
@kunjraval4698,I moved from Calgary to Toronto last year. It is pretty affordable over there on minimum wage too. Yes that city has very boring vibe and not that much growth in terms of job.,2023-05-30T21:20:10Z,NEGATIVE
@alienguestl3765,I feel she just made all this up since she was running out of Content Material.  😂😂,2023-05-30T21:08:19Z,NEGATIVE
@sayantanimondal1345,"Hey Pooja, the inflation is really worrisome, we live in Ottawa and whereas we definitely can not say it's the cheapest but Ottawa definitely far more cheaper than Toronto and GTA, also it's a beautiful city with the all the city amenities but at the same time you can get the suburban vibes as well. Do consider Ottawa if you guys move I think you will like it here. 😊😊",2023-05-30T17:40:54Z,POSITIVE
@nishmaappanna1358,"Such a relatable video! My fiancé and I in October moved to USA, we both lived in Etobicoke! Being in our 30s and wanting to start a family it was becoming so unattainable to buy a house and save money in GTA! Also for whatever reason we found that our employers were not paying enough according to the inflation going on it was staying pretty stagnent! We are now in New York State and living way more comfortably and we are also saving money! Sometimes a big change is needed to get what you want out of life!",2023-05-30T17:34:16Z,POSITIVE
@Mosse_1997,Move to Montreal!,2023-05-30T16:45:21Z,NEUTRAL
@mathew-auxiliuminteriordes1797,"YOU'RE SO,SO,SO TALENTED.
Immediately enroll at a film institute & specialise in DIRECTION & your very 1st movie WILL BE MONEY SPINNER & YOU'LL BE SUPER RICH & MAYBE VERY SOON BUYING A BUNGALOW IN & AROUND DOWNTOWN TORONTO.
YES, NO JOKING 
Never 
ever think of downsizing.
Always
only think of upgrading
And
the solution is ALWAYS your own natural talent, which will be the stepping stone to be one among the rich & famous.
ENROLL TODAY, at a film institute what ever is the cost of the education.
Best wishes 🎉😊",2023-05-30T14:43:26Z,POSITIVE
@ujwal3396,Mortgage Stress Testing 101,2023-05-30T13:50:48Z,NEUTRAL
@misscappuccino5920,"for two people your house is a huge peloton, vacation, you always buy expensive clothes and eat outside we ordinary people in Canada don't even dare to spend half as much as you are doing. but this is the first time Pooja you came out honest with the living expenses and I love it. I am going through the same condition and I can feel it, inflation don't even let me eat three",2023-05-30T13:02:45Z,NEUTRAL
@Avian1397,"Interest rate issue is a global problem. When you applied for mortgage you showed your income from the full-time job you once had but weren’t planning to pursue that in the future, which means your affordability wasn’t as high as you had during your application. Then you went on to make a series of financial decisions like upgrading kitchen which actually was functional but wasn’t aesthetically pleasing for you, a new car whereas a used one could have done the job, new furniture like a bed whereas your old ikea bed could have been used for a little longer, Peleton bike during spring where you could have just chosen to go for a run, etc.

The focus of this comment is not to point out the faults but to try and make you understand that the problem was self created in a way. 

Undoing so much of damage is complicated and entirely depends on the contracts you have for each of the debt you chose to get yourself into.

Inflation is coming under control in most of the countries so the interest rates might have just reached its peak. You could consider to wait it off as the cost involved in moving is a lot higher than paying interest on this property.",2023-05-30T08:28:28Z,NEGATIVE
@ankitaahuja111,Moving to Calgary May not solve all of your problems. Or in other words might solve one problem and arise two new problems. You should considering selling your current place and buy a place in oshwa or Hamilton with basement. Rent the basement to cover some part of mortgage.,2023-05-30T01:41:44Z,NEUTRAL
@Bobbin555,Look into Kelowna?,2023-05-30T00:10:45Z,NEUTRAL
@shakksaikia7643,Like everyone right now in canada is moving to alberta ! I bet alberta will be done in next 5 years coz if the migrations 😆,2023-05-29T23:33:25Z,POSITIVE
@devaj.singhacaliforniausa9245,You will not be disappointed if you move to Calgary.,2023-05-29T23:25:54Z,POSITIVE
@nitika008,Hi peekaboo. I can totally relate with you and understand all this chaos going in your mind to make a move. Moving is definitely not a easy task and it requires thorough understanding of all pros & cons and then coming to a right decision. Me and my family moved from New Zealand to Canada 15 years ago. But next month we are moving back to our home country ( NZ) after a through conclusion and discussion. Canada inflation has gone over the limit & we can’t ignore the weather. In the end we all do what works best for us. All the best.,2023-05-29T22:52:28Z,POSITIVE
@kaduvananu,If you are not rich you will never buy house in oakville. I was in oakville for 4 years. Oakville is most expensive place. There are many small cities . Not a big deal,2023-05-29T22:20:41Z,NEGATIVE
@Godsbelovedchild,"We moved from ontario to calgary in 2021, honestly we like peaceful life ,have a son so its perfect to raise a family.
Calgary is a slow city,not as happening as toronto but one get use to it slowly and gradually, it totally depends on ur priorirty, calgary is beautiful indeed. It is rhe sunniest city of canada,everyday u get sunshine..
Calgary is slow for sure..think before you come..u decide u want to enjoy the hustle bustle or save money, choice is urs",2023-05-29T21:57:02Z,POSITIVE
@shambhavisingh7832,I think you guys should wait some more time … I am a student .. I am living in Brampton and its very expensive for me … but still we have a lot of opportunities in GTA…,2023-05-29T21:31:54Z,NEUTRAL
@Amzy_co,Doesn’t YouTube pay quite a bit once you get a lot of views?! Confused. Hope things work out for you for the better,2023-05-29T20:57:50Z,NEUTRAL
@timgeorge4450,Economics suggests consumption smoothing. Its easy to spend money you don't need but difficult when you need money you don't have. Yolo sounds good but you need to save for rainy days,2023-05-29T20:54:09Z,NEUTRAL
@jessdew9,You should consider couponing!! I save over $200 - $500 monthly with couponing!! 😊,2023-05-29T20:41:28Z,POSITIVE
@FeastFactorychannel,Yes move to calgary,2023-05-29T19:49:36Z,NEUTRAL
@AnoopAries-px9un,"Firstly, I think you're the first one to speak about harsh reality about interest rates on YouTube. Secondly, going to a new city is definitely a big step, I think if you like to live around city areas would be hard to adjust around calmer areas, but at the end all it comes down to is affordability. Thirdly, before moving, maybe you guys can again do calculations about buying houses, but being more careful as a rise in interest rates are on their way again. Thanks",2023-05-29T19:38:45Z,NEUTRAL
@pind507,Its better to stay in your own homeland rather than struggling overseas in some other countries,2023-05-29T18:51:14Z,NEUTRAL
@deepakpatel8164,"You have not been to Montreal yet, the best city in Canada. why don’t you visit that city first before thinking of Calgary.",2023-05-29T18:26:05Z,NEUTRAL
